filename, language, XML, JSON, Markdown, PHP, Batch, CSS, JavaScript, YAML, Properties, HTML, comment, blank, total
c:\xamppp\htdocs\petcustoms\README.md, Markdown, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
c:\xamppp\htdocs\petcustoms\composer.json, JSON, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
c:\xamppp\htdocs\petcustoms\composer.lock, JSON, 0, 1643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1644
c:\xamppp\htdocs\petcustoms\phpunit.xml, XML, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
c:\xamppp\htdocs\petcustoms\tests\API\PedidoCadastrarTest.php, PHP, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 8, 17, 82
c:\xamppp\htdocs\petcustoms\tests\DAO\DAOClienteTest.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 8, 35
c:\xamppp\htdocs\petcustoms\tests\DAO\DAODepartamentoTest.php, PHP, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 5, 23
c:\xamppp\htdocs\petcustoms\tests\DAO\DAOPedidoTest.php, PHP, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 19, 87
c:\xamppp\htdocs\petcustoms\tests\DAO\DAOProdutoTest.php, PHP, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 16, 52
c:\xamppp\htdocs\petcustoms\tests\Model\ClienteTest.php, PHP, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 15, 67
c:\xamppp\htdocs\petcustoms\tests\View\WebTest.php, PHP, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
c:\xamppp\htdocs\petcustoms\tests\View\WebTestCliente.php, PHP, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
c:\xamppp\htdocs\petcustoms\tests\View\WebTestLogin.php, PHP, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 12, 46
c:\xamppp\htdocs\petcustoms\tests\View\WebTestProduto.php, PHP, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 13, 52
c:\xamppp\htdocs\petcustoms\vendor\autoload.php, PHP, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
c:\xamppp\htdocs\petcustoms\vendor\bin\phpunit.bat, Batch, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
c:\xamppp\htdocs\petcustoms\vendor\composer\ClassLoader.php, PHP, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 148, 45, 446
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_classmap.php, PHP, 0, 0, 0, 528, 0, 0, 0, 0, 0, 0, 1, 4, 533
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_files.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_namespaces.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_psr4.php, PHP, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_real.php, PHP, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 15, 71
c:\xamppp\htdocs\petcustoms\vendor\composer\autoload_static.php, PHP, 0, 0, 0, 614, 0, 0, 0, 0, 0, 0, 1, 9, 624
c:\xamppp\htdocs\petcustoms\vendor\composer\installed.json, JSON, 0, 1688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1689
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\.doctrine-project.json, JSON, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\.github\FUNDING.yml, YAML, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\CONTRIBUTING.md, Markdown, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\README.md, Markdown, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 15, 40
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\composer.json, JSON, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\phpbench.json, JSON, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\src\Doctrine\Instantiator\Exception\ExceptionInterface.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 4, 13
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\src\Doctrine\Instantiator\Exception\InvalidArgumentException.php, PHP, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 7, 38
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\src\Doctrine\Instantiator\Exception\UnexpectedValueException.php, PHP, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 5, 49
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\src\Doctrine\Instantiator\Instantiator.php, PHP, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 52, 32, 204
c:\xamppp\htdocs\petcustoms\vendor\doctrine\instantiator\src\Doctrine\Instantiator\InstantiatorInterface.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 10, 4, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\.coveralls.yml, YAML, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\CHANGELOG.md, Markdown, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\CODE_OF_CONDUCT.md, Markdown, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\CONTRIBUTING.md, Markdown, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 23, 60
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\ISSUE_TEMPLATE.md, Markdown, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 6, 22
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\LICENSE.md, Markdown, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 33, 202
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\README.md, Markdown, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 48, 123
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\composer.json, JSON, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\AbstractWebDriverCheckboxOrRadio.php, PHP, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 55, 36, 254
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Chrome\ChromeDriver.php, PHP, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 39, 8, 102
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Chrome\ChromeDriverService.php, PHP, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 17, 6, 38
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Chrome\ChromeOptions.php, PHP, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 83, 25, 176
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Cookie.php, PHP, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 84, 30, 244
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\ElementNotSelectableException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\ElementNotVisibleException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\ExpectedException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\IMEEngineActivationFailedException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\IMENotAvailableException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
c:\xamppp\htdocs\petcustoms\vendor\facebook\webdriver\lib\Exception\IndexOutOfBoundsException.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 3, 21
